  x       Q^2   F2(Cu)/F2(D)    stat.     syst.
-----------------------------------------------
 0.031    5.1      0.923        0.043     0.022 
 0.050    7.8      1.020        0.035     0.020 
 0.078   11.4      1.002        0.027     0.019 
 0.123   14.4      1.044        0.032     0.019 
 0.173   17.3      0.995        0.037     0.018 
 0.243   20.2      0.957        0.032     0.018 
 0.343   24.1      0.902        0.045     0.017 
 0.442   29.8      0.902        0.069     0.017 
 0.564   33.6      0.874        0.089     0.016 
