   x        Q**2      y      F2(CA)/F2(D)      errors
----------------------------------------------------------------------
 0.0035     0.60     0.47       0.819      0.021      0.019  
 0.0055     0.94     0.46       0.805      0.009      0.013  
 0.0085     1.4      0.43       0.846      0.009      0.010  
 0.0125     1.9      0.41       0.870      0.007      0.008  
 0.0175     2.5      0.40       0.908      0.008      0.007  
 0.025      3.4      0.38       0.946      0.006      0.006  
 0.035      4.7      0.36       0.956      0.007      0.005  
 0.045      5.7      0.35       0.986      0.009      0.005  
 0.055      6.8      0.34       0.973      0.010      0.005  
 0.070      8.1      0.32       0.995      0.008      0.005  
 0.090      9.7      0.30       1.027      0.010      0.005  
 0.125     12.0      0.26       1.029      0.008      0.005  
 0.175     14.0      0.23       1.042      0.010      0.005  
 0.25      19.0      0.21       0.993      0.010      0.005  
 0.35      24.0      0.19       0.993      0.017      0.006  
 0.45      30.0      0.19       0.938      0.027      0.006  
 0.55      35.0      0.18       0.877      0.042      0.006  
 0.65      41.0      0.17       0.919      0.067      0.007  
