   x        Q**2      y      F2(He)/F2(D)      errors
----------------------------------------------------------------------
 0.0035     0.77    0.65       0.938      0.026      0.022  
 0.0055     1.3     0.65       0.948      0.011      0.018  
 0.0085     1.8     0.59       0.968      0.011      0.014  
 0.0125     2.4     0.53       0.955      0.009      0.011  
 0.0175     3.0     0.47       0.982      0.009      0.009  
 0.025      3.8     0.42       0.986      0.008      0.008  
 0.035      4.7     0.37       0.991      0.009      0.007  
 0.045      5.6     0.34       1.003      0.010      0.007  
 0.055      6.3     0.31       1.005      0.011      0.007  
 0.070      7.3     0.29       0.990      0.009      0.006  
 0.090      8.7     0.26       1.021      0.010      0.006  
 0.125     11.0     0.24       0.998      0.008      0.006  
 0.175     14.0     0.22       1.019      0.011      0.005  
 0.25      19.0     0.21       0.996      0.011      0.005  
 0.35      24.0     0.19       0.987      0.019      0.005  
 0.45      31.0     0.19       0.925      0.029      0.005  
 0.55      38.0     0.19       0.952      0.051      0.005  
 0.65      44.0     0.18       1.052      0.085      0.005
 
